EN,EN_without_numbers,,FR_without_numbers,numbers,FR
5694-64038-0010 RIGHT BEFORE ME I SAW THE LONG DRY GRASS ALL BENDING TOWARD A COMMON CENTER AND I KNEW THAT IT WAS AN OLD WELL AND THAT MY COMRADE HAD FALLEN IN IT,RIGHT BEFORE ME I SAW THE LONG DRY GRASS ALL BENDING TOWARD A COMMON CENTER AND I KNEW THAT IT WAS AN OLD WELL AND THAT MY COMRADE HAD FALLEN IN IT,,"Juste devant moi, j'ai vu la longue herbe sèche se pencher vers un centre commun et je savais que c'était un vieux puits et que mon camarade était tombé dedans",5694-64038-0010 ,"5694-64038-0010 Juste devant moi, j'ai vu la longue herbe sèche se pencher vers un centre commun et je savais que c'était un vieux puits et que mon camarade était tombé dedans"
5694-64038-0011 BUT HOW TO GET HIM OUT WAS THE UNSOLVED PROBLEM,BUT HOW TO GET HIM OUT WAS THE UNSOLVED PROBLEM,,Mais comment le faire sortir était le problème non résolu,5694-64038-0011 ,5694-64038-0011 Mais comment le faire sortir était le problème non résolu
5694-64038-0012 THE POOR FELLOW STAYED IN THAT WELL ALL NIGHT,THE POOR FELLOW STAYED IN THAT WELL ALL NIGHT,,Le pauvre gars est resté bien toute la nuit,5694-64038-0012 ,5694-64038-0012 Le pauvre gars est resté bien toute la nuit
5694-64038-0013 WE LOOKED ALL AROUND AND THOUGHT THAT THE COAST WAS CLEAR,WE LOOKED ALL AROUND AND THOUGHT THAT THE COAST WAS CLEAR,,Nous avons regardé tout autour et avons pensé que la côte était claire,5694-64038-0013 ,5694-64038-0013 Nous avons regardé tout autour et avons pensé que la côte était claire
5694-64038-0014 I DON'T THINK HIS GUN WAS LOADED THOUGH BECAUSE WE DID NOT HEAR THE BALL WHISTLE,I DON'T THINK HIS GUN WAS LOADED THOUGH BECAUSE WE DID NOT HEAR THE BALL WHISTLE,,Je ne pense pas que son pistolet a été chargé parce que nous n'avons pas entendu le coup de sifflet au ballon,5694-64038-0014 ,5694-64038-0014 Je ne pense pas que son pistolet a été chargé parce que nous n'avons pas entendu le coup de sifflet au ballon
5694-64038-0015 WE WALKED OVER THIS FLOATING BRIDGE AND SOON FOUND OURSELVES ON THE TENNESSEE SIDE OF TENNESSEE RIVER,WE WALKED OVER THIS FLOATING BRIDGE AND SOON FOUND OURSELVES ON THE TENNESSEE SIDE OF TENNESSEE RIVER,,Nous avons marché sur ce pont flottant et nous nous sommes rapidement retrouvés du côté du Tennessee de la rivière Tennessee,5694-64038-0015 ,5694-64038-0015 Nous avons marché sur ce pont flottant et nous nous sommes rapidement retrouvés du côté du Tennessee de la rivière Tennessee
5694-64038-0016 WE HAD BEEF FOR SUPPER THAT NIGHT,WE HAD BEEF FOR SUPPER THAT NIGHT,,Nous avons eu du bœuf pour le souper cette nuit-là,5694-64038-0016 ,5694-64038-0016 Nous avons eu du bœuf pour le souper cette nuit-là
5694-64038-0017 HOW EVERY PULSE DID BEAT AND LEAP AND HOW EVERY HEART DID THROB WITH EMOTIONS OF JOY WHICH SEEMED NEARLY AKIN TO HEAVEN WHEN WE RECEIVED THE GLAD INTELLIGENCE OF OUR ONWARD MARCH TOWARD THE LAND OF PROMISE AND OF OUR LOVED ONES,HOW EVERY PULSE DID BEAT AND LEAP AND HOW EVERY HEART DID THROB WITH EMOTIONS OF JOY WHICH SEEMED NEARLY AKIN TO HEAVEN WHEN WE RECEIVED THE GLAD INTELLIGENCE OF OUR ONWARD MARCH TOWARD THE LAND OF PROMISE AND OF OUR LOVED ONES,,Comment chaque impulsion a battu et sauté et comment chaque cœur a palpié avec des émotions de joie qui semblaient presque apparentées au ciel lorsque nous avons reçu l'intelligence heureuse de notre marche vers la terre de promesse et de nos proches,5694-64038-0017 ,5694-64038-0017 Comment chaque impulsion a battu et sauté et comment chaque cœur a palpié avec des émotions de joie qui semblaient presque apparentées au ciel lorsque nous avons reçu l'intelligence heureuse de notre marche vers la terre de promesse et de nos proches
5694-64038-0018 WE WERE INURED TO PRIVATIONS AND HARDSHIPS HAD BEEN UPON EVERY MARCH IN EVERY BATTLE IN EVERY SKIRMISH IN EVERY ADVANCE IN EVERY RETREAT IN EVERY VICTORY IN EVERY DEFEAT,WE WERE INURED TO PRIVATIONS AND HARDSHIPS HAD BEEN UPON EVERY MARCH IN EVERY BATTLE IN EVERY SKIRMISH IN EVERY ADVANCE IN EVERY RETREAT IN EVERY VICTORY IN EVERY DEFEAT,,Nous étions handicapés à des privations et les difficultés avaient été à chaque mars à chaque bataille à chaque escarmouche à chaque avancée dans chaque retraite de chaque victoire à chaque défaite,5694-64038-0018 ,5694-64038-0018 Nous étions handicapés à des privations et les difficultés avaient été à chaque mars à chaque bataille à chaque escarmouche à chaque avancée dans chaque retraite de chaque victoire à chaque défaite
5694-64038-0019 HE WANTED TO GO BY HOME AND TELL HIS WIFE AND CHILDREN GOOD BYE AND TO GET HIS CLOTHES IT WAS NO GO,HE WANTED TO GO BY HOME AND TELL HIS WIFE AND CHILDREN GOOD BYE AND TO GET HIS CLOTHES IT WAS NO GO,,"Il voulait aller chez lui et dire à sa femme et à ses enfants au revoir et à obtenir ses vêtements, ce n'était pas",5694-64038-0019 ,"5694-64038-0019 Il voulait aller chez lui et dire à sa femme et à ses enfants au revoir et à obtenir ses vêtements, ce n'était pas"
5694-64038-0020 BUT AFTER AWHILE JIM SAYS GENTLEMEN AY GANNY THE LAW,BUT AFTER AWHILE JIM SAYS GENTLEMEN AY GANNY THE LAW,,"Mais après un certain temps, Jim dit que messieurs ay ganny la loi",5694-64038-0020 ,"5694-64038-0020 Mais après un certain temps, Jim dit que messieurs ay ganny la loi"
5694-64038-0021 YOU SEE JIM KNOWED THE LAW,YOU SEE JIM KNOWED THE LAW,,Vous voyez Jim connaître la loi,5694-64038-0021 ,5694-64038-0021 Vous voyez Jim connaître la loi
5694-64038-0022 THOSE OLD SOLDIERS HAD LONG LONG AGO FORGOTTEN ABOUT THAT OLD LAW OF THE LONG GONE PAST BUT JIM HAD TREASURED IT UP IN HIS MEMORY LO THESE MANY YEARS AND HE THOUGHT IT WOULD SERVE HIM NOW AS IT HAD NO DOUBT FREQUENTLY DONE IN THE PAST,THOSE OLD SOLDIERS HAD LONG LONG AGO FORGOTTEN ABOUT THAT OLD LAW OF THE LONG GONE PAST BUT JIM HAD TREASURED IT UP IN HIS MEMORY LO THESE MANY YEARS AND HE THOUGHT IT WOULD SERVE HIM NOW AS IT HAD NO DOUBT FREQUENTLY DONE IN THE PAST,,"Ces vieux soldats avaient longtemps oublié depuis longtemps cette vieille loi du passé depuis longtemps, mais Jim l'avait chéris dans sa mémoire en ces nombreuses années et il pensait que cela le servirait maintenant car il ne faisait aucun doute fréquemment dans le passé",5694-64038-0022 ,"5694-64038-0022 Ces vieux soldats avaient longtemps oublié depuis longtemps cette vieille loi du passé depuis longtemps, mais Jim l'avait chéris dans sa mémoire en ces nombreuses années et il pensait que cela le servirait maintenant car il ne faisait aucun doute fréquemment dans le passé"
5694-64038-0023 THE THIRD DAY IT WAS REPORTED THAT THE YANKEES HAD TAKEN POSITION ON THE MURFREESBORO PIKE,THE THIRD DAY IT WAS REPORTED THAT THE YANKEES HAD TAKEN POSITION ON THE MURFREESBORO PIKE,,"Le troisième jour, il a été signalé que les Yankees avaient pris position sur le Murfreesboro Pike",5694-64038-0023 ,"5694-64038-0023 Le troisième jour, il a été signalé que les Yankees avaient pris position sur le Murfreesboro Pike"
5694-64038-0024 A REGIMENT WAS SENT TO THE ATTACK IT WAS JIM'S REGIMENT,A REGIMENT WAS SENT TO THE ATTACK IT WAS JIM'S REGIMENT,,"Un régiment a été envoyé à l'attaque, c'était le régiment de Jim",5694-64038-0024 ,"5694-64038-0024 Un régiment a été envoyé à l'attaque, c'était le régiment de Jim"
5694-64038-0025 HE HADN'T SEEN ANYTHING TO SHOOT AT BUT HE BLAZED AWAY HE LOADED AND FIRED THE SECOND TIME WHEN THEY WERE ORDERED TO RETREAT,HE HADN'T SEEN ANYTHING TO SHOOT AT BUT HE BLAZED AWAY HE LOADED AND FIRED THE SECOND TIME WHEN THEY WERE ORDERED TO RETREAT,,"Il n'avait rien vu à tirer mais il a flambé, il a chargé et tiré la deuxième fois lorsqu'ils ont reçu l'ordre de battre en retraite",5694-64038-0025 ,"5694-64038-0025 Il n'avait rien vu à tirer mais il a flambé, il a chargé et tiré la deuxième fois lorsqu'ils ont reçu l'ordre de battre en retraite"
5694-64025-0000 SHILOH,SHILOH,,Shiloh,5694-64025-0000 ,5694-64025-0000 Shiloh
5694-64025-0001 THIS WAS THE FIRST BIG BATTLE IN WHICH OUR REGIMENT HAD EVER BEEN ENGAGED,THIS WAS THE FIRST BIG BATTLE IN WHICH OUR REGIMENT HAD EVER BEEN ENGAGED,,Ce fut la première grande bataille dans laquelle notre régiment avait jamais été engagé,5694-64025-0001 ,5694-64025-0001 Ce fut la première grande bataille dans laquelle notre régiment avait jamais été engagé
5694-64025-0002 I DO NOT PRETEND TO TELL OF WHAT COMMAND DISTINGUISHED ITSELF OF HEROES OF BLOOD AND WOUNDS OF SHRIEKS AND GROANS OF BRILLIANT CHARGES OF CANNON CAPTURED ET CETERA,I DO NOT PRETEND TO TELL OF WHAT COMMAND DISTINGUISHED ITSELF OF HEROES OF BLOOD AND WOUNDS OF SHRIEKS AND GROANS OF BRILLIANT CHARGES OF CANNON CAPTURED ET CETERA,,Je ne fais pas semblant de dire quel commandement se distinguait des héros de sang et des blessures de cris et de gémissements de brillantes charges de canon capturé et cetera,5694-64025-0002 ,5694-64025-0002 Je ne fais pas semblant de dire quel commandement se distinguait des héros de sang et des blessures de cris et de gémissements de brillantes charges de canon capturé et cetera
5694-64025-0003 ABOUT DAYLIGHT ON SUNDAY MORNING CHALMERS BRIGADE RELIEVED GLADDEN'S,ABOUT DAYLIGHT ON SUNDAY MORNING CHALMERS BRIGADE RELIEVED GLADDEN'S,,À propos de la lumière du jour le dimanche matin Chalmers Brigade a soulagé Gladden,5694-64025-0003 ,5694-64025-0003 À propos de la lumière du jour le dimanche matin Chalmers Brigade a soulagé Gladden
5694-64025-0004 AS GLADDEN RODE BY US A COURIER RODE UP AND TOLD HIM SOMETHING,AS GLADDEN RODE BY US A COURIER RODE UP AND TOLD HIM SOMETHING,,"Alors que Gladden montait près de nous, un courrier est monté et lui a dit quelque chose",5694-64025-0004 ,"5694-64025-0004 Alors que Gladden montait près de nous, un courrier est monté et lui a dit quelque chose"
5694-64025-0005 ON SUNDAY MORNING A CLEAR BEAUTIFUL AND STILL DAY THE ORDER WAS GIVEN FOR THE WHOLE ARMY TO ADVANCE AND TO ATTACK IMMEDIATELY,ON SUNDAY MORNING A CLEAR BEAUTIFUL AND STILL DAY THE ORDER WAS GIVEN FOR THE WHOLE ARMY TO ADVANCE AND TO ATTACK IMMEDIATELY,,"Dimanche matin, un jour clair et immobile, la commande a été donnée pour que toute l'armée avance et attaque immédiatement",5694-64025-0005 ,"5694-64025-0005 Dimanche matin, un jour clair et immobile, la commande a été donnée pour que toute l'armée avance et attaque immédiatement"
5694-64025-0006 WE WERE SUPPORTING AN ALABAMA BRIGADE,WE WERE SUPPORTING AN ALABAMA BRIGADE,,Nous soutenions une brigade de l'Alabama,5694-64025-0006 ,5694-64025-0006 Nous soutenions une brigade de l'Alabama
5694-64025-0007 THAT'S RIGHT MY BRAVE FIRST TENNESSEE GIVE EM HAIL COLUMBIA,THAT'S RIGHT MY BRAVE FIRST TENNESSEE GIVE EM HAIL COLUMBIA,,C'est vrai mon courageux premier Tennessee donne à leur salut Columbia,5694-64025-0007 ,5694-64025-0007 C'est vrai mon courageux premier Tennessee donne à leur salut Columbia
5694-64025-0008 THE FACT WAS KEPT FROM THE TROOPS,THE FACT WAS KEPT FROM THE TROOPS,,Le fait a été gardé des troupes,5694-64025-0008 ,5694-64025-0008 Le fait a été gardé des troupes
5694-64025-0009 WE HAD TO PASS OVER THE GROUND WHERE TROOPS HAD BEEN FIGHTING ALL DAY,WE HAD TO PASS OVER THE GROUND WHERE TROOPS HAD BEEN FIGHTING ALL DAY,,Nous avons dû passer au-dessus du sol où les troupes se battaient toute la journée,5694-64025-0009 ,5694-64025-0009 Nous avons dû passer au-dessus du sol où les troupes se battaient toute la journée
5694-64025-0010 I HAD HEARD AND READ OF BATTLEFIELDS SEEN PICTURES OF BATTLEFIELDS OF HORSES AND MEN OF CANNON AND WAGONS ALL JUMBLED TOGETHER WHILE THE GROUND WAS STREWN WITH DEAD AND DYING AND WOUNDED BUT I MUST CONFESS THAT I NEVER REALIZED THE POMP AND CIRCUMSTANCE OF THE THING CALLED GLORIOUS WAR UNTIL I SAW THIS,I HAD HEARD AND READ OF BATTLEFIELDS SEEN PICTURES OF BATTLEFIELDS OF HORSES AND MEN OF CANNON AND WAGONS ALL JUMBLED TOGETHER WHILE THE GROUND WAS STREWN WITH DEAD AND DYING AND WOUNDED BUT I MUST CONFESS THAT I NEVER REALIZED THE POMP AND CIRCUMSTANCE OF THE THING CALLED GLORIOUS WAR UNTIL I SAW THIS,,"J'avais entendu et lu des champs de bataille vus des photos de champs de bataille de chevaux et d'hommes de canon et de wagons tous brouillés ensemble tandis que le sol était parsemé de morts et de mourants et de blessés, mais je dois avouer que je n'ai jamais réalisé la pompe et la circonstance de la chose appelée glorieuse Guerre jusqu'à ce que je voie ça",5694-64025-0010 ,"5694-64025-0010 J'avais entendu et lu des champs de bataille vus des photos de champs de bataille de chevaux et d'hommes de canon et de wagons tous brouillés ensemble tandis que le sol était parsemé de morts et de mourants et de blessés, mais je dois avouer que je n'ai jamais réalisé la pompe et la circonstance de la chose appelée glorieuse Guerre jusqu'à ce que je voie ça"
5694-64025-0011 I HAD BEEN FEELING MEAN ALL THE MORNING AS IF I HAD STOLEN A SHEEP BUT WHEN THE ORDER TO CHARGE WAS GIVEN I GOT HAPPY,I HAD BEEN FEELING MEAN ALL THE MORNING AS IF I HAD STOLEN A SHEEP BUT WHEN THE ORDER TO CHARGE WAS GIVEN I GOT HAPPY,,"Je me sentais méchant toute la matinée comme si j'avais volé un mouton mais quand l'ordre de charge était donné, je suis devenu heureux",5694-64025-0011 ,"5694-64025-0011 Je me sentais méchant toute la matinée comme si j'avais volé un mouton mais quand l'ordre de charge était donné, je suis devenu heureux"
5694-64025-0012 OFFICERS COULD NOT CURB THE MEN TO KEEP IN LINE,OFFICERS COULD NOT CURB THE MEN TO KEEP IN LINE,,Les officiers ne pouvaient pas freiner les hommes pour garder en ligne,5694-64025-0012 ,5694-64025-0012 Les officiers ne pouvaient pas freiner les hommes pour garder en ligne
5694-64025-0013 ON MONDAY THE TIDE WAS REVERSED,ON MONDAY THE TIDE WAS REVERSED,,"Lundi, la marée a été inversée",5694-64025-0013 ,"5694-64025-0013 Lundi, la marée a été inversée"
5694-64025-0014 BUT AS I SAID BEFORE READER A PRIVATE SOLDIER IS BUT AN AUTOMATON AND KNOWS NOTHING OF WHAT IS GOING ON AMONG THE GENERALS AND I AM ONLY GIVING THE CHRONICLES OF LITTLE THINGS AND EVENTS THAT CAME UNDER MY OWN OBSERVATION AS I SAW THEM THEN AND REMEMBER THEM NOW,BUT AS I SAID BEFORE READER A PRIVATE SOLDIER IS BUT AN AUTOMATON AND KNOWS NOTHING OF WHAT IS GOING ON AMONG THE GENERALS AND I AM ONLY GIVING THE CHRONICLES OF LITTLE THINGS AND EVENTS THAT CAME UNDER MY OWN OBSERVATION AS I SAW THEM THEN AND REMEMBER THEM NOW,,"Mais comme je l'ai dit avant le lecteur, un soldat privé n'est qu'un automate et ne sait rien de ce qui se passe parmi les généraux et je ne donne que les chroniques des petites choses et des événements qui ont été soumis à ma propre observation comme je les ai vues et je me souviens d'eux MAINTENANT",5694-64025-0014 ,"5694-64025-0014 Mais comme je l'ai dit avant le lecteur, un soldat privé n'est qu'un automate et ne sait rien de ce qui se passe parmi les généraux et je ne donne que les chroniques des petites choses et des événements qui ont été soumis à ma propre observation comme je les ai vues et je me souviens d'eux MAINTENANT"
5694-64025-0015 SHOULD YOU DESIRE TO FIND OUT MORE ABOUT THE BATTLE I REFER YOU TO HISTORY,SHOULD YOU DESIRE TO FIND OUT MORE ABOUT THE BATTLE I REFER YOU TO HISTORY,,"Si vous souhaitez en savoir plus sur la bataille, je vous renvoie à l'histoire",5694-64025-0015 ,"5694-64025-0015 Si vous souhaitez en savoir plus sur la bataille, je vous renvoie à l'histoire"
5694-64025-0016 ABOUT THE TIME HE PULLED TRIGGER A STRAY BALL FROM SOME DIRECTION STRUCK HIM IN THE SIDE AND HE FELL OFF DEAD AND HIS HORSE BECOMING FRIGHTENED GALLOPED OFF DRAGGING HIM THROUGH THE CONFEDERATE LINES,ABOUT THE TIME HE PULLED TRIGGER A STRAY BALL FROM SOME DIRECTION STRUCK HIM IN THE SIDE AND HE FELL OFF DEAD AND HIS HORSE BECOMING FRIGHTENED GALLOPED OFF DRAGGING HIM THROUGH THE CONFEDERATE LINES,,À peu près au moment où il a appuyé sur une balle errante d'une direction le frappa sur le côté et il est tombé mort et son cheval devenant effrayé galopant de le traîner à travers les lignes confédérées,5694-64025-0016 ,5694-64025-0016 À peu près au moment où il a appuyé sur une balle errante d'une direction le frappa sur le côté et il est tombé mort et son cheval devenant effrayé galopant de le traîner à travers les lignes confédérées
5694-64025-0017 ON MONDAY MORNING I TOO CAPTURED ME A MULE,ON MONDAY MORNING I TOO CAPTURED ME A MULE,,"Lundi matin, je me suis aussi capturé une mule",5694-64025-0017 ,"5694-64025-0017 Lundi matin, je me suis aussi capturé une mule"
5694-64025-0018 HE WAS WISE IN HIS OWN CONCEIT,HE WAS WISE IN HIS OWN CONCEIT,,Il était sage dans sa propre vanité,5694-64025-0018 ,5694-64025-0018 Il était sage dans sa propre vanité
5694-64025-0019 I FREQUENTLY THOUGHT IT WOULD BE PLEASANT TO SPLIT THE DIFFERENCE WITH THAT MULE AND I WOULD GLADLY HAVE DONE SO IF I COULD HAVE GOTTEN ONE HALF OF HIS NO,I FREQUENTLY THOUGHT IT WOULD BE PLEASANT TO SPLIT THE DIFFERENCE WITH THAT MULE AND I WOULD GLADLY HAVE DONE SO IF I COULD HAVE GOTTEN ONE HALF OF HIS NO,,Je pensais souvent que ce serait agréable de diviser la différence avec cette mule et je l'aurais fait plaisir si j'aurais pu obtenir une moitié de son non,5694-64025-0019 ,5694-64025-0019 Je pensais souvent que ce serait agréable de diviser la différence avec cette mule et je l'aurais fait plaisir si j'aurais pu obtenir une moitié de son non
5694-64025-0020 MULE DID NOT DESIRE TO CROSS WHILE I WAS TRYING TO PERSUADE HIM WITH A BIG STICK A ROCK IN HIS EAR AND A TWISTER ON HIS NOSE,MULE DID NOT DESIRE TO CROSS WHILE I WAS TRYING TO PERSUADE HIM WITH A BIG STICK A ROCK IN HIS EAR AND A TWISTER ON HIS NOSE,,Mule ne souhaitait pas traverser pendant que j'essayais de le persuader avec un gros bâton un rocher dans son oreille et une twister sur son nez,5694-64025-0020 ,5694-64025-0020 Mule ne souhaitait pas traverser pendant que j'essayais de le persuader avec un gros bâton un rocher dans son oreille et une twister sur son nez
5694-64025-0021 SO HE GOT A LARGE TWO INCH ROPE TIED ONE END AROUND THE MULE'S NECK AND THE OTHER TO THE CAISSON AND ORDERED THE DRIVER TO WHIP UP,SO HE GOT A LARGE TWO INCH ROPE TIED ONE END AROUND THE MULE'S NECK AND THE OTHER TO THE CAISSON AND ORDERED THE DRIVER TO WHIP UP,,Il a donc obtenu une grande corde de deux pouces attachée à une extrémité autour du cou de la mule et de l'autre au caisson et a ordonné au chauffeur de fouetter,5694-64025-0021 ,5694-64025-0021 Il a donc obtenu une grande corde de deux pouces attachée à une extrémité autour du cou de la mule et de l'autre au caisson et a ordonné au chauffeur de fouetter
5694-64025-0022 THE ROPE HOWEVER WAS STRONGER THAN THE MULE'S NO AND HE WAS FINALLY PREVAILED UPON BY THE STRENGTH OF THE ROPE TO CROSS THE CREEK,THE ROPE HOWEVER WAS STRONGER THAN THE MULE'S NO AND HE WAS FINALLY PREVAILED UPON BY THE STRENGTH OF THE ROPE TO CROSS THE CREEK,,La corde était cependant plus forte que le non du mule et il a finalement été prévalu par la force de la corde pour traverser le ruisseau,5694-64025-0022 ,5694-64025-0022 La corde était cependant plus forte que le non du mule et il a finalement été prévalu par la force de la corde pour traverser le ruisseau
5694-64025-0023 ON MY TAKING THE ROPE OFF HE SHOOK HIMSELF AND SEEMED TO SAY YOU THINK THAT YOU ARE MIGHTY SMART FOLKS BUT YOU ARE A LEETLE TOO SMART,ON MY TAKING THE ROPE OFF HE SHOOK HIMSELF AND SEEMED TO SAY YOU THINK THAT YOU ARE MIGHTY SMART FOLKS BUT YOU ARE A LEETLE TOO SMART,,"En enlevant la corde, il se secoua et semblait dire que vous pensez que vous êtes de puissants gens intelligents mais vous êtes un Leetle trop intelligent",5694-64025-0023 ,"5694-64025-0023 En enlevant la corde, il se secoua et semblait dire que vous pensez que vous êtes de puissants gens intelligents mais vous êtes un Leetle trop intelligent"
5694-64029-0000 WE REMAINED SEVERAL MONTHS BUT SOON WE WERE ON THE TRAMP AGAIN,WE REMAINED SEVERAL MONTHS BUT SOON WE WERE ON THE TRAMP AGAIN,,Nous sommes restés plusieurs mois mais bientôt nous étions sur le clochard,5694-64029-0000 ,5694-64029-0000 Nous sommes restés plusieurs mois mais bientôt nous étions sur le clochard
5694-64029-0001 THE FEDERAL ARMY WAS CONCENTRATING AT NASHVILLE THERE WAS NO REST FOR THE WEARY,THE FEDERAL ARMY WAS CONCENTRATING AT NASHVILLE THERE WAS NO REST FOR THE WEARY,,"L'armée fédérale se concentrait à Nashville, il n'y avait pas de repos pour le las",5694-64029-0001 ,"5694-64029-0001 L'armée fédérale se concentrait à Nashville, il n'y avait pas de repos pour le las"
5694-64029-0002 OUR ARMY STOPPED AT MURFREESBORO,OUR ARMY STOPPED AT MURFREESBORO,,Notre armée s'est arrêtée à Murfreesboro,5694-64029-0002 ,5694-64029-0002 Notre armée s'est arrêtée à Murfreesboro
5694-64029-0003 FROM TIME TO TIME DIFFERENT REGIMENTS WERE SENT FORWARD TO DO PICKET DUTY,FROM TIME TO TIME DIFFERENT REGIMENTS WERE SENT FORWARD TO DO PICKET DUTY,,"De temps en temps, différents régiments ont été envoyés pour faire du piquet",5694-64029-0003 ,"5694-64029-0003 De temps en temps, différents régiments ont été envoyés pour faire du piquet"
5694-64029-0004 THE YANKEE PICKET LINES WERE NOT A HALF MILE OFF,THE YANKEE PICKET LINES WERE NOT A HALF MILE OFF,,Les lignes de piquets Yankee n'étaient pas à un demi-mille,5694-64029-0004 ,5694-64029-0004 Les lignes de piquets Yankee n'étaient pas à un demi-mille
5694-64029-0005 I AM A VIDET YOU KNOW THE RESPONSIBILITY RESTING ON ME,I AM A VIDET YOU KNOW THE RESPONSIBILITY RESTING ON ME,,"Je suis un videt, tu connais la responsabilité reposant sur moi",5694-64029-0005 ,"5694-64029-0005 Je suis un videt, tu connais la responsabilité reposant sur moi"
5694-64029-0006 SAYS HE I WOULD NOT TRUST A SECESH ON HIS WORD OATH OR BOND MARCH I SAY,SAYS HE I WOULD NOT TRUST A SECESH ON HIS WORD OATH OR BOND MARCH I SAY,,Dit qu'il ne ferais pas confiance à un isolant sur sa parole serment ou lien marche je dis,5694-64029-0006 ,5694-64029-0006 Dit qu'il ne ferais pas confiance à un isolant sur sa parole serment ou lien marche je dis
5694-64029-0007 I SOON FOUND OUT THAT HE HAD CAUGHT SIGHT OF THE RELIEF ON THE ROAD AND WAS AFRAID TO SHOOT I QUICKLY MADE UP MY MIND,I SOON FOUND OUT THAT HE HAD CAUGHT SIGHT OF THE RELIEF ON THE ROAD AND WAS AFRAID TO SHOOT I QUICKLY MADE UP MY MIND,,"J'ai vite découvert qu'il avait aperçu le soulagement sur la route et que j'avais peur de tirer, j'ai rapidement décidé",5694-64029-0007 ,"5694-64029-0007 J'ai vite découvert qu'il avait aperçu le soulagement sur la route et que j'avais peur de tirer, j'ai rapidement décidé"
